,signal,signal,signal,random,random,random,index,index,index
,daily_return,open_positions,equity,daily_return,open_positions,equity,daily_return,open_positions,equity
date,,,,,,,,,
2013-02-08,0.0,0,1.0,0.0,0,1.0,0.0,1,1.0
2013-02-11,0.0,0,1.0,0.0,0,1.0,-0.0011374112479023424,1,0.9988625887520977
2013-02-12,0.0,0,1.0,0.0,0,1.0,0.002904221156695641,1,1.0017635066149833
2013-02-13,0.0,0,1.0,0.0,0,1.0,0.0016173189313626324,1,1.00338367769898
2013-02-14,0.0,0,1.0,0.0,0,1.0,0.00033632252121873485,1,1.0037211382272133
2013-02-15,0.0,0,1.0,0.0,0,1.0,7.995136120286794e-05,1,1.0038013870984828
2013-02-19,0.0,0,1.0,0.0,0,1.0,0.006299644794966142,1,1.0101249792818976
2013-02-20,0.0,0,1.0,0.0,0,1.0,-0.01518741654268696,1,0.9947837904613703
2013-02-21,0.0,0,1.0,0.0,0,1.0,-0.007797265755869254,1,0.9870271968775121
2013-02-22,0.0,0,1.0,0.0,0,1.0,0.010414687649697996,1,0.9973067768347483
2013-02-25,0.0,0,1.0,0.0,0,1.0,-0.01888877584144244,1,0.9784688726819654
2013-02-26,0.0,0,1.0,0.0,0,1.0,0.005950731532652576,1,0.984291478256353
2013-02-27,0.0,0,1.0,0.0,0,1.0,0.014915145985781697,1,0.9989723293471073
2013-02-28,0.0,0,1.0,0.0,0,1.0,0.0006565556780289139,1,0.999628210302134
2013-03-01,0.0,0,1.0,0.0,0,1.0,0.0025314202638540007,1,1.002158689410013
2013-03-04,0.0,0,1.0,0.0,0,1.0,0.005112395222104382,1,1.0072821207055431
2013-03-05,0.0,0,1.0,0.0,0,1.0,0.010198113689720234,1,1.0175544982901208
2013-03-06,0.0,0,1.0,0.0,0,1.0,0.0012888534377504257,1,1.0188659769033404
2013-03-07,0.0,0,1.0,0.0,0,1.0,0.001551773856417915,1,1.0204470264894927
2013-03-08,0.0,0,1.0,0.0,0,1.0,0.006197953216365404,1,1.0267717094194537
2013-03-11,0.0,0,1.0,0.0,0,1.0,0.002554164176829632,1,1.029394252937435
2013-03-12,0.0,0,1.0,0.0,0,1.0,-0.002200350691467956,1,1.027129224581191
2013-03-13,0.0,0,1.0,0.0,0,1.0,0.004086330466617216,1,1.03132641402475
2013-03-14,0.0,0,1.0,0.0,0,1.0,0.005154688778110206,1,1.036642580717692
2013-03-15,0.0,1,1.0,0.0,0,1.0,-0.0030394178018361417,1,1.0334917908037173
2013-03-18,-0.009878419452887588,1,0.9901215805471124,0.0,0,1.0,-0.005639635117142716,1,1.027663274207022
2013-03-19,-0.019186492709132752,1,0.9711246200607903,0.0,0,1.0,-0.003383070068628369,1,1.0241866173434235
2013-03-20,0.013302034428795073,1,0.9840425531914895,0.0,0,1.0,0.008922511750583562,1,1.0333249344714606
2013-03-21,-0.003853757011025009,3,0.9802502923029809,0.0,0,1.0,-0.009110329252045357,1,1.0239110040940773
2013-03-22,0.011032470011002715,3,0.9910648742560901,0.0,0,1.0,0.005633092317141264,1,1.0296787893046762
2013-03-25,0.0029208624885102377,3,0.9939596384709848,0.0,0,1.0,-0.003325022354330631,1,1.026255084312458
2013-03-26,-0.00020615981716024892,3,0.9937547239336529,0.0,0,1.0,0.007852050212147743,1,1.0343132907649515
2013-03-27,-0.00029565586070032235,4,0.9934609145254233,0.0,0,1.0,0.0008688202335047635,1,1.035211923079751
2013-03-28,0.009971675762094834,5,1.0033673846473852,0.0,0,1.0,0.006928664963214315,1,1.0423845596606953
2013-04-01,-0.007107763060187122,5,0.9962356870149919,0.0,0,1.0,-0.006768483788850088,1,1.0353291966668843
2013-04-02,0.0005953312551912005,5,0.9968287772570088,0.0,0,1.0,0.0011175092189819047,1,1.0364861865888406
2013-04-03,-0.012534985808283957,6,0.9843335426808032,0.0,0,1.0,-0.011830447307807468,1,1.024224091373131
2013-04-04,0.002254802523044197,5,0.986553020436357,0.0,0,1.0,0.005708555835511442,1,1.0300709317868106
2013-04-05,-0.00257837980962472,6,0.9840093120473395,0.0,0,1.0,-0.003314873184416034,1,1.0266563772769841
2013-04-08,0.005513707771778065,6,0.9894348518386771,0.0,0,1.0,0.008366609150904036,1,1.0352460099179437
