conv_max,vol_mult,hold_days,arm,trades,win_rate_pct,mean_return_pct,median_return_pct,std_return_pct,mean_win_pct,mean_loss_pct,profit_factor,mean_hold_days,mean_excess_pct,t_stat,stop_exit_pct
0.02,1.5,20,signal,146,55.48,2.405,1.371,8.502,7.374,-3.787,2.426,16.8,0.832,3.42,32.9
0.02,1.5,20,random,1274,48.67,0.639,-0.097,5.967,4.993,-3.489,1.357,13.9,0.125,3.82,44.7
0.02,1.5,60,signal,145,47.59,3.492,-0.829,11.815,12.614,-4.791,2.39,39.3,1.161,3.56,50.3
0.02,1.5,60,random,1110,42.79,1.232,-0.736,8.811,8.438,-4.159,1.518,31.8,0.15,4.66,57.2
0.02,2.0,20,signal,83,60.24,1.855,1.621,5.968,5.787,-4.101,2.138,17.8,0.23,2.83,25.3
0.02,2.0,20,random,725,48.55,0.554,-0.182,5.49,4.631,-3.293,1.327,13.9,-0.015,2.72,43.6
0.02,2.0,60,signal,83,53.01,3.285,1.233,10.38,11.243,-5.694,2.228,44.3,0.663,2.88,43.4
0.02,2.0,60,random,629,41.34,1.174,-0.796,8.351,8.445,-3.95,1.506,31.3,0.052,3.52,56.9
0.02,3.0,20,signal,27,62.96,1.264,1.379,6.032,5.16,-5.36,1.637,17.0,-0.125,1.09,29.6
0.02,3.0,20,random,238,42.02,0.38,-0.447,5.196,4.863,-2.869,1.228,13.6,-0.186,1.13,46.2
0.02,3.0,60,signal,27,48.15,2.326,-0.15,10.827,11.458,-6.154,1.729,41.6,0.107,1.12,44.4
0.02,3.0,60,random,214,37.38,1.641,-0.996,8.646,10.035,-3.371,1.778,30.7,0.321,2.78,59.3
0.03,1.5,20,signal,301,53.16,1.445,0.586,7.244,6.251,-4.009,1.77,17.0,0.226,3.46,31.6
0.03,1.5,20,random,2546,48.04,0.693,-0.094,5.786,4.96,-3.252,1.41,14.0,0.106,6.04,44.0
0.03,1.5,60,signal,299,46.49,2.669,-1.485,10.857,11.696,-5.174,1.964,39.4,0.569,4.25,49.8
0.03,1.5,60,random,2152,42.15,1.315,-0.67,9.12,8.759,-4.109,1.553,30.8,0.12,6.69,59.1
0.03,2.0,20,signal,174,56.32,1.14,0.998,5.832,5.307,-4.234,1.616,17.6,-0.143,2.58,26.4
0.03,2.0,20,random,1498,48.6,0.608,-0.101,5.474,4.648,-3.212,1.368,14.2,-0.022,4.3,42.6
0.03,2.0,60,signal,174,48.85,2.532,-0.209,10.399,11.283,-5.827,1.849,42.5,0.354,3.21,45.4
0.03,2.0,60,random,1289,43.37,1.399,-0.64,9.033,8.717,-4.205,1.587,32.5,0.195,5.56,56.9
0.03,3.0,20,signal,64,59.38,1.201,1.815,5.673,5.219,-4.673,1.633,18.0,0.12,1.69,23.4
0.03,3.0,20,random,568,47.54,0.612,-0.228,6.05,5.21,-3.554,1.328,14.1,-0.014,2.41,43.3
0.03,3.0,60,signal,64,51.56,2.139,0.993,10.28,10.157,-6.396,1.69,44.8,-0.109,1.66,40.6
0.03,3.0,60,random,488,43.03,1.404,-0.634,9.447,8.699,-4.107,1.6,32.5,0.183,3.28,54.5
0.05,1.5,20,signal,617,56.4,1.363,1.261,7.367,6.125,-4.797,1.652,17.6,0.207,4.6,27.4
0.05,1.5,20,random,5007,45.54,0.526,-0.343,5.826,5.078,-3.279,1.295,13.4,-0.039,6.39,46.9
0.05,1.5,60,signal,606,48.84,2.421,-0.45,11.008,11.262,-6.021,1.786,41.7,0.371,5.41,46.2
0.05,1.5,60,random,4059,40.77,1.074,-0.745,8.69,8.315,-3.911,1.464,29.0,0.022,7.88,62.0
0.05,2.0,20,signal,370,58.65,1.154,1.486,6.988,5.597,-5.148,1.542,17.9,-0.104,3.18,23.8
0.05,2.0,20,random,3095,47.17,0.494,-0.204,5.843,4.84,-3.386,1.276,13.8,-0.108,4.71,44.5
0.05,2.0,60,signal,367,51.77,2.772,1.157,11.187,11.317,-6.4,1.898,44.2,0.487,4.75,41.1
0.05,2.0,60,random,2594,42.75,1.185,-0.66,9.043,8.392,-4.197,1.493,30.5,0.058,6.67,59.6
0.05,3.0,20,signal,150,60.67,1.466,2.058,7.868,6.009,-5.541,1.673,18.6,0.402,2.28,20.0
0.05,3.0,20,random,1302,47.62,0.609,-0.199,6.052,5.0,-3.383,1.344,13.6,0.057,3.63,45.8
0.05,3.0,60,signal,150,54.0,2.779,1.643,12.214,11.191,-7.096,1.851,46.8,0.668,2.79,36.7
0.05,3.0,60,random,1144,43.88,1.675,-0.619,9.698,9.29,-4.28,1.697,30.6,0.587,5.84,59.0
