name,conv_max,vol_mult,hold_days,stop,min_names,idle,trades,days,years,total_return_pct,cagr_pct,max_drawdown_pct,time_in_market_pct,mean_open_positions,beats_index
loose/none/index,0.05,1.5,60,none,20,index,575,1259,5.0,111.67,16.19,-14.21,98.3,27.7,True
loose/none/cash,0.05,1.5,60,none,1,cash,575,1259,5.0,108.79,15.88,-14.28,98.3,27.7,True
loose-long/none/index,0.05,1.5,120,none,20,index,550,1259,5.0,101.31,15.03,-19.37,98.3,50.3,True
loose-long/none/cash,0.05,1.5,120,none,1,cash,550,1259,5.0,95.25,14.33,-19.37,98.3,50.3,True
loose/band/cash,0.05,1.5,60,band,1,cash,606,1259,5.0,94.65,14.26,-12.08,98.3,20.5,True
loose/band/index,0.05,1.5,60,band,20,index,606,1259,5.0,93.89,14.17,-12.84,98.3,20.5,True
loose-long/band/index,0.05,1.5,120,band,20,index,590,1259,5.0,89.19,13.61,-14.11,98.3,32.1,True
base/none/index,0.03,2.0,60,none,20,index,173,1259,5.0,87.84,13.45,-14.37,98.1,8.4,True
base/band/index,0.03,2.0,60,band,20,index,174,1259,5.0,85.11,13.12,-13.77,98.1,6.0,True
loose-long/band/cash,0.05,1.5,120,band,1,cash,590,1259,5.0,83.2,12.88,-14.39,98.3,32.1,True
base/trail/index,0.03,2.0,60,trail,20,index,175,1259,5.0,73.92,11.71,-12.81,84.0,2.5,False
loose/trail/index,0.05,1.5,60,trail,20,index,626,1259,5.0,73.54,11.67,-11.3,96.5,8.7,False
loose-long/trail/index,0.05,1.5,120,trail,20,index,626,1259,5.0,73.24,11.63,-11.3,96.5,8.7,False
base/none/cash,0.03,2.0,60,none,1,cash,173,1259,5.0,71.18,11.36,-18.87,98.1,8.4,False
loose/trail/cash,0.05,1.5,60,trail,1,cash,626,1259,5.0,50.01,8.46,-26.42,96.5,8.7,False
loose-long/trail/cash,0.05,1.5,120,trail,1,cash,626,1259,5.0,49.48,8.38,-26.42,96.5,8.7,False
base/band/cash,0.03,2.0,60,band,1,cash,174,1259,5.0,39.12,6.83,-18.5,98.1,6.0,False
base/trail/cash,0.03,2.0,60,trail,1,cash,175,1259,5.0,9.01,1.74,-15.67,84.0,2.5,False
